Food, Category, CalsPerGram, CalsPerCup, CalsPerUnit, CalsPerTbsp, CalsPerTsp, CalsPerMililiters, CalsPerOunce
Banana, Fruits, 0.87, -1, 100, -1, -1, -1, -1
Pear, Fruits, 0.57, -1, 100, -1, -1, -1, -1
Apple, Fruits, 0.52, -1, 95, -1, -1, -1, -1
Pineapple, Fruits, 0.50, -1, 82, -1, -1, -1, -1
Blueberry, Fruits, 0.57, -1, 1, -1, -1, -1, -1
Grape, Fruits, 0.67, -1, 1.6, -1, -1, -1, -1
Strawberry, Fruits, 0.33, -1, 4, -1, -1, -1, -1
Raisins, Fruits, 3, -1, -1, -1, -1, -1, -1
Rice, Carbs, 1.15, 140, -1, -1, -1, -1, -1
Pasta, Carbs, 1.15, 140, -1, -1, -1, -1, -1
Bread, Carbs, 2.6, -1, 80, -1, -1, -1, -1
WheatBread, Carbs, 2.5, -1, 70, -1, -1, -1, -1
LightBread, Carbs, 2.3, -1, 45, -1, -1, -1, -1
Meat, Proteins, 2, -1, -1, -1, -1, -1, -1
ChickenDrum, Proteins, 1.6, -1, 105, -1, -1, -1, -1
ChickenBreast, Proteins, 1.3, -1, 165, -1, -1, -1, -1
ChickenWing, Proteins, 1.5, -1, 92, -1, -1, -1, -1
Salmon, Proteins, 2.1, -1, -1, -1, -1, -1, -1
Cod, Proteins, 1.9, -1, -1, -1, -1, -1, -1
Shrimp, Proteins, 1, -1, 9, -1, -1, -1, -1
Egg, Proteins, -1, -1, 60, -1, -1, -1, -1
Beans, Legumes, 1, 240, -1, -1, -1, -1, -1
Spinach, Vegetables, 0.23, -1, -1, -1, -1, -1, -1
Pumpkin, Vegetables, 0.26, -1, -1, -1, -1, -1, -1
Carrot, Vegetables, 0.41, -1, -1, -1, -1, -1, -1
Avocado, Vegetables, 1.6, -1, -1, -1, -1, -1, -1
Oil, Fats, 9, -1, -1, 120, -1, -1, -1
ChocolateLight, Fats, 4.3, -1, -1, 30, -1, -1, -1
Seeds, Fats, 6, -1, -1, -1, -1, -1, -1
PeanutButter, Fats, 5.6, -1, -1, -1, -1, -1, -1
Fluff, Fats, 3, -1, -1, -1, -1, -1, -1
Butter, Fats, 7.2, -1, -1, -1, -1, -1, -1
WholeMilk, Dairy, 0.63, 150, -1, -1, -1, 0.63, -1
Milk2p, Dairy, 0.54, 130, -1, -1, -1, 0.54, -1
Milk1p, Dairy, 0.42, 100, -1, -1, -1, 0.42, -1
SoyMilk, Dairy, 0.125, -1, -1, -1, -1, 0.125, -1
Cheese, Dairy, 3, -1, -1, -1, -1, -1, -1
CheeseStickLight, Dairy, -1, -1, 50, -1, -1, -1, -1
CheeseStick, Dairy, -1, -1, 90, -1, -1, -1, -1
FiberOne, Carbs, 2.3, -1, -1, -1, -1, -1, -1
RaisinBranPost, Carbs, 3.1, -1, -1, -1, -1, -1, -1
RaisinBran, Carbs, 3.2, -1, -1, -1, -1, -1, -1
